id,project_is_approved
p233245,0.862062876453412
p096795,0.9561960601718403
p236235,0.9400714621032189
p233680,0.9001709890872118
p171879,0.8814110036134866
p016071,0.9407754692749034
p099906,0.9351437949204858
p200236,0.9613523598159394
p129452,0.8772313037181108
p186652,0.9390963418948086
p257992,0.9389574973084627
p055177,0.5973318249943235
p069502,0.3518704350053413
p099455,0.8695256968317803
p226195,0.9785067862488093
p048432,0.9598025230020751
p028074,0.9263912136880932
p188220,0.8546964175198486
p213507,0.8876890427863219
p006068,0.6553762674454534
p124112,0.8991456405518086
p190450,0.9523405585734989
p180156,0.9217696174774289
p025868,0.7947488243580951
p134875,0.8383874479016792
p169259,0.8568774300705282
p124445,0.9736048722217604
p090153,0.9234930176878021
p086796,0.8397336384507831
p101412,0.9915008349959947
p249795,0.9563945642161673
p185278,0.9205098711812923
p052706,0.8044706269485858
p118380,0.8903482540780372
p258109,0.949325237474001
p033638,0.8156623578588778
p190269,0.8960507936903881
p166424,0.9702977896162728
p128851,0.7845911631768303
p059448,0.9078902577961773
p020036,0.7588887314630034
p241422,0.8670727404316536
p155492,0.8796068309352333
p062100,0.8987101600353472
p159786,0.9542191324912231
p144841,0.8644127727077072
p085470,0.8687310869450976
p130095,0.6900805267275244
p047018,0.8406059887797279
p016587,0.8466661667219295
p087209,0.690276640869815
p188130,0.9313397415946215
p101731,0.5859877145325063
p232762,0.98292471453674
p167483,0.9242102995459318
p076351,0.8729225230600571
p185000,0.9404317984984651
p101086,0.5043450741134694
p026220,0.9349122933347673
p028685,0.8694405195227121
p069530,0.938553589836725
p056829,0.7357904605235426
p047088,0.8469830284437114
p134783,0.8853930108187177
p033569,0.9400506055319741
p066632,0.975327126027419
p249875,0.9610759705461774
p246378,0.7112841020795676
p088359,0.8503567502910114
p068216,0.8150425549206272
p132793,0.9237778010222472
p012075,0.940146534003757
p034160,0.8990742259212496
p164095,0.6805790468994667
p101374,0.8748844957295936
p179164,0.9358156790559098
p144206,0.9410289838031701
p117651,0.9402805660374821
p037059,0.9678544867221216
p156849,0.8452424753972685
p096892,0.8231452229675632
p161212,0.5619862203075633
p099186,0.917540700431433
p124024,0.8751944709829742
p200265,0.8511521887128878
p034357,0.8883362242915538
p177052,0.639914798985195
p127983,0.4413505521164532
p257497,0.9037286086542696
p017783,0.9488543906077125
p036670,0.9661065764782562
p187035,0.9684725060470012
p251797,0.9393803789788723
p081183,0.9749303793434214
p211028,0.9887449580695955
p197996,0.9781063249522304
p175648,0.9594749199144654
p069955,0.9534707782826197
p126285,0.9343642217274584
p073482,0.7673606985580197
p021363,0.7067537870654635
p018483,0.9632799751798354
p120512,0.9245611847784072
p224623,0.938860736489141
p046024,0.9055137725129335
p128133,0.9768696968957734
p111612,0.8349052183623247
p216008,0.9255210371438117
p250197,0.681285944232177
p038264,0.9354922945593526
p037304,0.9303098419166272
p233182,0.9009027028309257
p187950,0.9611764093167666
p194163,0.6267904768559488
p123572,0.8980383718693445
p213676,0.29103349633830267
p242177,0.9363304625935088
p228376,0.8446756856325006
p098358,0.8616522565885428
p208182,0.8730199949087281
p192069,0.9300530847435234
p125208,0.9441399942818407
p068618,0.7877175057206419
p250399,0.9117494268065229
p096146,0.9865979590813075
p014072,0.7760534268064482
p170811,0.6978771025330186
p016865,0.8036669462606123
p000502,0.9741141208758827
p243659,0.9204873141800008
p123641,0.9181314249380523
p179222,0.9296907912924618
p119669,0.9536662852210304
p224232,0.9457670697027537
p113196,0.8993194958598061
p197404,0.9244070089871784
p040348,0.9178214510334721
p220547,0.8992729408305353
p152772,0.8800809266420493
p227843,0.952060411766888
p243822,0.9502991713512208
p042663,0.8766741595734192
p103616,0.9262329442445677
p119315,0.8908715737595622
p112683,0.8348992965005025
p134225,0.618831999300952
p178686,0.776850708965711
p104414,0.7983445426393955
p196430,0.7979748373424512
p121265,0.947619793026013
p002111,0.9606962798600832
p048656,0.9517948673991488
p100742,0.942834118807663
p240945,0.9377176873686112
p196948,0.7170819000898242
p161397,0.8953226615699333
p085333,0.7394546640932638
p051174,0.9035489787873414
p226030,0.836796622048978
p200031,0.9154912625676904
p099283,0.6166886015354279
p012888,0.826244189201284
p213138,0.7747718848771592
p259594,0.8162119958766901
p169939,0.8016715874228618
p189829,0.9550730913257446
p180698,0.9910707159183625
p041111,0.9260630364165457
p108577,0.9398540587379058
p024499,0.9496400674046023
p009156,0.9410972035477089
p154797,0.9412247196913107
p019957,0.923754153357737
p137043,0.9409563548646367
p183936,0.9784450674267666
p143641,0.8346076011026603
p201920,0.42301073888420787
p169193,0.9190712434858657
p215466,0.9024323761806007
p124527,0.7995063208855615
p241030,0.9268866332503146
p252968,0.8761478728329476
p090991,0.8762270366627637
p138331,0.9457314863865889
p199355,0.9101454179503108
p084300,0.9734965311026397
p096238,0.811508323153184
p081530,0.9108727022376718
p178898,0.7158365869399703
p177763,0.959268766007635
p175360,0.9487662036110828
p218759,0.9441941341293117
p225010,0.913494123267496
p015130,0.8934243643763675
p161752,0.7599066005733836
p152538,0.9456016902298184
p237080,0.9681659116520117
p199291,0.972785709562577
p136751,0.9624363671212897
p108958,0.9609582061504336
p110542,0.8873488854391663
p043509,0.9362882642114364
p251751,0.9167619969037515
p241189,0.8983952171857283
p194788,0.9497842406885885
p175510,0.9003822353679202
p113659,0.9448935818537659
p038018,0.9268121188580698
p109620,0.9670750933564809
p198992,0.8911120809225586
p001237,0.8028341804483266
p156569,0.6230523710332441
p183302,0.8404303547098254
p068100,0.7320276727379175
p013384,0.8713536759991117
p189300,0.6265632884999058
p185448,0.9051654197368315
p140668,0.9585693721011049
p070387,0.8365215269790505
p033345,0.9470362124097277
p049875,0.9366698824956177
p112795,0.854486810663495
p042765,0.9222785106179359
p183727,0.9561521783701489
p258333,0.9727933667420093
p164654,0.9834143793320849
p111121,0.965419061427046
p007364,0.9769613774972895
p235281,0.4747284364879225
p184766,0.9560522672522517
p118290,0.9547481574089864
p134315,0.8998901034518904
p008931,0.840877260577583
p193216,0.978227969864102
p099504,0.8417666503536364
p185939,0.8066141553341334
p212541,0.9374882736061819
p057050,0.48874100104232443
p235964,0.9194502831901583
p019799,0.9204523297207344
p226343,0.9417479318395272
p247942,0.9531833272816266
p034876,0.9751840059625962
p127034,0.9191410417533605
p122910,0.9666630469367993
p112781,0.596210680042904
p167054,0.939501001363825
p091175,0.9213022126638468
p192661,0.9878801780531331
p254171,0.9652640554220798
p056473,0.9532000888721169
p186773,0.964729158586004
p005448,0.7286405796164428
p127039,0.8880560905832338
p019902,0.9809968457479771
p109258,0.9483458607812393
p256814,0.42561542417397674
p086119,0.9687798829323652
p085718,0.9087164647661088
p000341,0.8836216104909277
p153871,0.6646625299366058
p015527,0.9464946567582089
p180082,0.8480607210104839
p114608,0.9370365910611682
p255258,0.7571150361689724
p074885,0.579278097471057
p158107,0.8376560211437178
p194785,0.8035056156665665
p053919,0.9290162236738225
p118270,0.8696329607920901
p173735,0.8963866357102244
p166438,0.8722561264131654
p229032,0.9235756141651392
p126693,0.9796773085821993
p093408,0.8570635133079616
p078376,0.7737052475465753
p256718,0.8270856563249681
p257276,0.9716178570798372
p139883,0.9648048400224458
p112417,0.9214558589875568
p006285,0.97751452877936
p158702,0.8584830851237818
p180517,0.8626681260979925
p103302,0.9670936028198457
p085035,0.7993238080486194
p052579,0.6701108974389179
p034767,0.9036561051501445
p164787,0.8308522139939566
p068805,0.9620257102736401
p099314,0.8065474373563127
p247448,0.6488312555649263
p010132,0.9644267901935901
p149889,0.9658645288963318
p244732,0.8997037200859797
p132573,0.9650650758539939
p022004,0.9533417662897885
p232062,0.7668523571938971
p227193,0.9531520463360098
p001484,0.9662392125577036
p212354,0.3647904206507867
p218435,0.8472477013986357
p070650,0.9341110018414589
p088920,0.8216441893829889
p121609,0.9545320544273839
p050858,0.9612199255221145
p132912,0.8199549093418395
p150879,0.8709414939564716
p243365,0.9678894217749816
p114677,0.7612860689823147
p228243,0.9553502516729233
p042290,0.9537991792350311
p104397,0.9396889486532647
p042280,0.8005782745041964
p137702,0.9005183312295838
p084377,0.9472359108750139
p041654,0.8936338328613235
p119772,0.822416284435932
p098282,0.8497420348672758
p087508,0.9310773005900856
p107066,0.5786162715790392
p241315,0.6899653484678413
p034181,0.9141342129442245
p079792,0.9355732667580253
p206611,0.9692522479105855
p233647,0.9032693496059838
